"","Temperature","393b","method"
"296",74.5,4.00722862380565,"Inner"
"297",74.6,3.97874353541491,"Inner"
"298",74.7,3.95031614808401,"Inner"
"299",74.8,3.91996916658099,"Inner"
"300",74.9,3.88578624980224,"Inner"
"301",75,3.84765770347287,"Inner"
"302",75.1,3.80753880296255,"Inner"
"303",75.2,3.76749731810439,"Inner"
"304",75.3,3.72922629942426,"Inner"
"305",75.4,3.6933532802469,"Inner"
"306",75.5,3.66031767710715,"Inner"
"307",75.6,3.6305589065398,"Inner"
"308",75.7,3.60411143882229,"Inner"
"309",75.8,3.57911696947934,"Inner"
"310",75.9,3.55316462850591,"Inner"
"311",76,3.52399536677018,"Inner"
"312",76.1,3.49179497340068,"Inner"
"313",76.2,3.45872340791875,"Inner"
"314",76.3,3.42699703201198,"Inner"
"315",76.4,3.39874892951038,"Inner"
"316",76.5,3.37313614129948,"Inner"
"317",76.6,3.34559448644329,"Inner"
"318",76.7,3.31132579283324,"Inner"
"319",76.8,3.26707087745309,"Inner"
"320",76.9,3.21439914883285,"Inner"
"321",77,3.15582451269919,"Inner"
"322",77.1,3.09386087477875,"Inner"
"323",77.2,3.03056908204554,"Inner"
"324",77.3,2.9656696880515,"Inner"
"325",77.4,2.89812980824605,"Inner"
"326",77.5,2.82700533069632,"Inner"
"327",77.6,2.7527873636657,"Inner"
"328",77.7,2.67712618316337,"Inner"
"329",77.8,2.6017051979681,"Inner"
"330",77.9,2.52817836017623,"Inner"
"331",78,2.45691890197579,"Inner"
"332",78.1,2.38655336503157,"Inner"
"333",78.2,2.3155828615287,"Inner"
"334",78.3,2.24295866399339,"Inner"
"335",78.4,2.16919158343831,"Inner"
"336",78.5,2.09512992557987,"Inner"
"337",78.6,2.02162199613451,"Inner"
"338",78.7,1.94939380804639,"Inner"
"339",78.8,1.87847063962535,"Inner"
"340",78.9,1.80862862544882,"Inner"
"341",79,1.7396200452026,"Inner"
"342",79.1,1.67076000508846,"Inner"
"343",79.2,1.60097768450777,"Inner"
"344",79.3,1.52918900727035,"Inner"
"345",79.4,1.45434403734775,"Inner"
"346",79.5,1.37724210665779,"Inner"
"347",79.6,1.30143991786549,"Inner"
"348",79.7,1.23071906652974,"Inner"
"349",79.8,1.16770477763524,"Inner"
"350",79.9,1.11059352239569,"Inner"
"351",80,1.05652169108917,"Inner"
"352",80.1,1.0026256739938,"Inner"
"353",80.2,0.946559357846558,"Inner"
"354",80.3,0.889259348306007,"Inner"
"355",80.4,0.832945406431032,"Inner"
"356",80.5,0.779761004559401,"Inner"
"357",80.6,0.730149636918552,"Inner"
"358",80.7,0.682920327712644,"Inner"
"359",80.8,0.636815961158607,"Inner"
"360",80.9,0.590590205059912,"Inner"
"361",81,0.543580721710769,"Inner"
"362",81.1,0.495995875728376,"Inner"
"363",81.2,0.448115040023499,"Inner"
"364",81.3,0.400217779696442,"Inner"
"365",81.4,0.352674070871341,"Inner"
"366",81.5,0.306088274458809,"Inner"
"367",81.6,0.26110223650461,"Inner"
"368",81.7,0.218283658991204,"Inner"
"369",81.8,0.177675406634737,"Inner"
"370",81.9,0.139093867410469,"Inner"
"371",82,0.102354535796295,"Inner"
"372",82.1,0.067421671239389,"Inner"
"373",82.2,0.0361191588796738,"Inner"
"374",82.3,0.01153552472793,"Inner"
"375",82.4,-0.00325300425502197,"Inner"
"376",82.5,-0.00770296647191585,"Inner"
"377",82.6,-0.00540787343914941,"Inner"
"378",82.7,-0.000342986612154078,"Inner"
"379",82.8,0.00351958123664117,"Inner"
"380",82.9,0.00369329945827657,"Inner"
"381",83,0.00154472341965667,"Inner"
"382",83.1,-0.000943053740900719,"Inner"
"383",83.2,-0.00200389734694624,"Inner"
"384",83.3,-0.00158094554966064,"Inner"
"385",83.4,-0.000426895239443923,"Inner"
"386",83.5,0.000700708537692562,"Inner"
"387",83.6,0.00109198916101038,"Inner"
"388",83.7,0.000714091658805388,"Inner"
"389",83.8,3.7399539497094e-05,"Inner"
"390",83.9,-0.000458216989058165,"Inner"
"391",84,-0.00051852469610027,"Inner"
"392",84.1,-0.000293117017800446,"Inner"
"393",84.2,2.64805848338132e-05,"Inner"
"394",84.3,0.000248769340931399,"Inner"
"395",84.4,0.00024794516211261,"Inner"
"396",84.5,0.000105256019731868,"Inner"
"397",84.6,-5.7360723571395e-05,"Inner"
"398",84.7,-0.000129748354108703,"Inner"
"399",84.8,-0.000105526120060175,"Inner"
"400",84.9,-3.22773556080407e-05,"Inner"
"401",85,4.19525440776026e-05,"Inner"
"402",85.1,7.16134625459571e-05,"Inner"
"403",85.2,5.17211430681026e-05,"Inner"
"404",85.3,1.02575799989468e-05,"Inner"
"405",85.4,-2.39352933437171e-05,"Inner"
"406",85.5,-3.39612829947629e-05,"Inner"
"407",85.6,-2.63787842858832e-05,"Inner"
"408",85.7,-1.04767922406839e-05,"Inner"
"409",85.8,4.45668582414776e-06,"Inner"
"410",85.9,1.16250815186709e-05,"Inner"
"411",86,1.21004213353907e-05,"Inner"
"412",86.1,8.50433969125391e-06,"Inner"
"413",86.2,3.36350555202084e-06,"Inner"
"414",86.3,-1.63307679020379e-06,"Inner"
"415",86.4,-5.23246785003052e-06,"Inner"
"416",86.5,-6.18547637473956e-06,"Inner"
"417",86.6,-3.36629009480345e-06,"Inner"
"418",86.7,2.04353668456893e-06,"Inner"
"419",86.8,6.81613817075492e-06,"Inner"
"420",86.9,7.6636554998456e-06,"Inner"
"421",87,3.28597890750134e-06,"Inner"
"422",87.1,-3.3346711242824e-06,"Inner"
"423",87.2,-8.65958246395734e-06,"Inner"
"424",87.3,-9.15018865752228e-06,"Inner"
"425",87.4,-2.9972117027823e-06,"Inner"
"426",87.5,5.57836023378347e-06,"Inner"
"427",87.6,1.10418949029122e-05,"Inner"
"428",87.7,8.51469567563047e-06,"Inner"
"429",87.8,-3.91829509575766e-07,"Inner"
"430",87.9,-1.03618378131029e-05,"Inner"
"431",88,-1.60362124753201e-05,"Inner"
"432",88.1,-1.23938819827822e-05,"Inner"
"433",88.2,-7.54543042064159e-07,"Inner"
"434",88.3,1.19285986361922e-05,"Inner"
"435",88.4,1.85065682180992e-05,"Inner"
